bowling_team,I,R,B,Dots,SR,AVG,W,ECO,4s,6s,Boundary %,Dot%,BpB,BpD,strike Rotation%,Rotation SR
Adelaide Strikers,11,973,726,240,24.2,32.43,30,7.87,58,44,50.98,33.06,7.12,24.2,49.02,124.22
Brisbane Heat,11,842,724,276,17.65853659,20.54,41,6.75,59,27,47.27,38.12,8.42,17.66,52.73,122.65
Hobart Hurricanes,10,765,599,214,26.04347826,33.26,23,7.3,57,23,47.84,35.73,7.49,26.04,52.16,130.82
Melbourne Renegades,9,692,522,191,32.625,43.25,16,7.7,48,31,54.62,36.59,6.61,32.62,45.38,124.6
Melbourne Stars,10,856,641,208,21.36666667,28.53,30,7.73,66,31,52.57,32.45,6.61,21.37,47.43,120.83
Perth Scorchers,10,786,660,265,18.85714286,22.46,35,6.94,62,26,51.4,40.15,7.5,18.86,48.6,124.43
Sydney Sixers,11,844,723,279,18.53846154,21.64,39,6.87,66,28,51.18,38.59,7.69,18.54,48.82,117.71
Sydney Thunder,8,706,519,173,32.4375,44.12,16,7.72,44,29,49.58,33.33,7.11,32.44,50.42,130.4
