batting_team,I,R,B,W,SR,AVG,DOTS,HS,4s,6s,Boundary %,Dot%,BpB,BpD,strike Rotation%,Rotation SR
Adelaide Strikers,11,388,248,25,153.36,15.52,88,60,32,19,62.37,35.48,4.86,9.92,37.63,133.94
Brisbane Heat,10,418,273,35,147.18,11.94,104,78,42,15,61.72,38.1,4.79,7.8,38.28,142.86
Hobart Hurricanes,10,407,249,23,155.34,17.7,104,69,34,25,70.27,41.77,4.22,10.83,29.73,140.7
Melbourne Renegades,7,279,185,15,140.2,18.6,72,63,25,10,57.35,38.92,5.29,12.33,42.65,152.56
Melbourne Stars,8,293,197,14,145.05,20.93,70,66,31,10,62.8,35.53,4.8,14.07,37.2,126.74
Perth Scorchers,9,343,218,23,147.84,14.91,89,86,25,19,62.39,40.83,4.95,9.48,37.61,151.76
Sydney Sixers,10,399,270,30,143.53,13.3,97,56,31,17,56.64,35.93,5.62,9,43.36,138.4
Sydney Thunder,9,343,249,34,132.95,10.09,95,51,26,13,53.06,38.15,6.38,7.32,46.94,140
