bowling_team,I,R,B,Dots,SR,AVG,W,ECO,4s,6s,Boundary %,Dot%,BpB,BpD,strike Rotation%,Rotation SR
Adelaide Strikers,11,496,290,108,9.35483871,16,31,9.79,42,25,64.11,37.24,4.33,9.35,35.89,154.78
Brisbane Heat,11,358,255,98,6.710526316,9.42,38,8.23,23,18,55.87,38.43,6.22,6.71,44.13,136.21
Hobart Hurricanes,9,346,214,70,23.77777778,38.44,9,9.15,27,16,58.96,32.71,4.98,23.78,41.04,140.59
Melbourne Renegades,7,274,183,67,9.15,13.7,20,8.79,21,15,63.5,36.61,5.08,9.15,36.5,125
Melbourne Stars,8,334,201,73,10.57894737,17.58,19,9.36,35,13,65.27,36.32,4.19,10.58,34.73,145
Perth Scorchers,10,387,267,113,8.612903226,12.48,31,8.54,32,21,65.63,42.32,5.04,8.61,34.37,131.68
Sydney Sixers,10,405,282,109,10.84615385,15.58,26,8.24,39,13,57.78,38.65,5.42,10.85,42.22,141.32
Sydney Thunder,8,270,197,81,7.88,10.8,25,7.79,27,7,55.56,41.12,5.79,7.88,44.44,146.34
